away_avg_corners,away_avg_fouls,away_avg_goals_conceded,away_avg_goals_scored,away_avg_pass_accuracy,away_avg_possession,away_avg_red_cards,away_avg_shots,away_avg_shots_on_target,away_avg_yellow_cards,away_draw_percentage,away_form_summary,away_loss_percentage,away_matches_analyzed,away_team,away_win_percentage,fixture_id,home_avg_corners,home_avg_fouls,home_avg_goals_conceded,home_avg_goals_scored,home_avg_pass_accuracy,home_avg_possession,home_avg_red_cards,home_avg_shots,home_avg_shots_on_target,home_avg_yellow_cards,home_draw_percentage,home_form_summary,home_loss_percentage,home_matches_analyzed,home_team,home_win_percentage,is_home,league,match_date,opponent_name,status,team_name
,,,,,,,,,,,,,,Espanyol,,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Osasuna,0.0,True,La Liga,2025-05-18,Espanyol,nan,Osasuna
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Espanyol,0.0,33,,,,,,,,,,,,,,,Osasuna,,False,La Liga,2025-05-18,Osasuna,nan,Espanyol
,,,,,,,,,,,,,,Villarreal,,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Barcelona,0.0,True,La Liga,2025-05-18,Villarreal,nan,Barcelona
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Villarreal,0.0,34,,,,,,,,,,,,,,,Barcelona,,False,La Liga,2025-05-18,Barcelona,nan,Villarreal
,,,,,,,,,,,,,,Alavés,,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Valladolid,0.0,True,La Liga,2025-05-18,Alavés,nan,Valladolid
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Alavés,0.0,35,,,,,,,,,,,,,,,Valladolid,,False,La Liga,2025-05-18,Valladolid,nan,Alavés
,,,,,,,,,,,,,,Girona,,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Real Sociedad,0.0,True,La Liga,2025-05-18,Girona,nan,Real Sociedad
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Girona,0.0,36,,,,,,,,,,,,,,,Real Sociedad,,False,La Liga,2025-05-18,Real Sociedad,nan,Girona
,,,,,,,,,,,,,,Real Madrid,,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Sevilla,0.0,True,La Liga,2025-05-18,Real Madrid,nan,Sevilla
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Real Madrid,0.0,37,,,,,,,,,,,,,,,Sevilla,,False,La Liga,2025-05-18,Sevilla,nan,Real Madrid
,,,,,,,,,,,,,,Rayo Vallecano,,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Celta Vigo,0.0,True,La Liga,2025-05-18,Rayo Vallecano,nan,Celta Vigo
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Rayo Vallecano,0.0,38,,,,,,,,,,,,,,,Celta Vigo,,False,La Liga,2025-05-18,Celta Vigo,nan,Rayo Vallecano
,,,,,,,,,,,,,,Atalanta,,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,Genoa,0.0,True,Serie A,2025-05-18,Atalanta,nan,Genoa
